GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ticket,dev.mgmeral.ticket.mapper,SeanceMapperImpl,96,0,10,0,33,0,9,0,4,0
ticket,dev.mgmeral.ticket.mapper,EventMapperImpl,283,0,26,0,95,0,20,0,7,0
ticket,dev.mgmeral.ticket.controller,SeanceController,30,0,0,0,7,0,5,0,5,0
ticket,dev.mgmeral.ticket.controller,EventController,42,0,0,0,10,0,7,0,7,0
ticket,dev.mgmeral.ticket.controller,PaymentController,11,0,0,0,4,0,2,0,2,0
ticket,dev.mgmeral.ticket.controller,HoldController,21,0,0,0,7,0,4,0,4,0
ticket,dev.mgmeral.ticket.controller,PurchaseController,24,0,2,0,7,0,3,0,2,0
ticket,dev.mgmeral.ticket.controller,PerformerController,33,0,0,0,9,0,6,0,6,0
ticket,dev.mgmeral.ticket.enums,HoldStatus,0,27,0,0,0,5,0,1,0,1
ticket,dev.mgmeral.ticket.enums,PaymentStatus,0,15,0,0,0,3,0,1,0,1
ticket,dev.mgmeral.ticket.enums,PurchaseStatus,0,15,0,0,0,3,0,1,0,1
ticket,dev.mgmeral.ticket.enums,EventType,0,21,0,0,0,4,0,1,0,1
ticket,dev.mgmeral.ticket.repository.spec,SeanceSpecifications,30,0,0,0,3,0,6,0,6,0
ticket,dev.mgmeral.ticket.repository.spec,EventSpecifications,32,12,0,0,0,4,4,4,4,4
ticket,dev.mgmeral.ticket.entity,Seance,95,15,14,0,4,5,17,5,10,5
ticket,dev.mgmeral.ticket.entity,Hold,4,86,0,0,0,12,1,18,1,18
ticket,dev.mgmeral.ticket.entity,Payment,4,46,0,0,0,8,1,10,1,10
ticket,dev.mgmeral.ticket.entity,Purchase.PurchaseBuilder,27,65,0,0,0,1,2,10,2,10
ticket,dev.mgmeral.ticket.entity,Performer,71,31,14,0,2,6,11,9,4,9
ticket,dev.mgmeral.ticket.entity,Hold.HoldBuilder,26,58,0,0,0,1,2,9,2,9
ticket,dev.mgmeral.ticket.entity,Purchase,0,100,0,0,0,13,0,21,0,21
ticket,dev.mgmeral.ticket.entity,BaseEntity,19,6,2,0,7,2,4,2,3,2
ticket,dev.mgmeral.ticket.entity,Payment.PaymentBuilder,17,30,0,0,0,1,2,5,2,5
ticket,dev.mgmeral.ticket.entity,Event,121,23,14,0,6,7,22,6,15,6
ticket,dev.mgmeral.ticket,TicketApplication,8,0,0,0,3,0,2,0,2,0
ticket,dev.mgmeral.ticket.job,HoldExpiryJob,32,0,4,0,8,0,5,0,3,0
ticket,dev.mgmeral.ticket.aop,LoggingAspect,54,0,0,0,12,0,3,0,3,0
ticket,dev.mgmeral.ticket.model,PerformerCreateRequest,0,12,0,0,0,1,0,1,0,1
ticket,dev.mgmeral.ticket.model,PurchaseCreateResult,0,21,0,0,0,3,0,3,0,3
ticket,dev.mgmeral.ticket.model,EventSearchResponse,18,0,0,0,1,0,1,0,1,0
ticket,dev.mgmeral.ticket.model,PurchaseCreateRequest,12,0,0,0,1,0,1,0,1,0
ticket,dev.mgmeral.ticket.model,EventGetResponse,24,0,0,0,1,0,1,0,1,0
ticket,dev.mgmeral.ticket.model,PerformerResponse,0,15,0,0,0,1,0,1,0,1
ticket,dev.mgmeral.ticket.model,PerformerUpdateRequest,0,12,0,0,0,1,0,1,0,1
ticket,dev.mgmeral.ticket.model,PurchaseResponse,0,30,0,0,0,1,0,1,0,1
ticket,dev.mgmeral.ticket.model,EventUpdateRequest,24,0,0,0,1,0,1,0,1,0
ticket,dev.mgmeral.ticket.model,EventPerformerUpdateRequest,6,0,0,0,1,0,1,0,1,0
ticket,dev.mgmeral.ticket.model,PaymentAuthorizeRequest,6,0,0,0,1,0,1,0,1,0
ticket,dev.mgmeral.ticket.model,PaymentAuthorizeResponse,0,15,0,0,0,1,0,1,0,1
ticket,dev.mgmeral.ticket.model,EventCreateRequest,24,0,0,0,1,0,1,0,1,0
ticket,dev.mgmeral.ticket.model,SeanceAvailabilityResponse,0,18,0,0,0,1,0,1,0,1
ticket,dev.mgmeral.ticket.model,SeanceCreateResponse,15,0,0,0,1,0,1,0,1,0
ticket,dev.mgmeral.ticket.model,EventUpdateResponse,24,0,0,0,1,0,1,0,1,0
ticket,dev.mgmeral.ticket.model,HoldCreateRequest,15,0,0,0,1,0,1,0,1,0
ticket,dev.mgmeral.ticket.model,EventCreateResponse,24,0,0,0,1,0,1,0,1,0
ticket,dev.mgmeral.ticket.model,HoldResponse,0,24,0,0,0,1,0,1,0,1
ticket,dev.mgmeral.ticket.model,SeanceCreateRequest,9,0,0,0,1,0,1,0,1,0
ticket,dev.mgmeral.ticket.model,SeanceGetResponse,15,0,0,0,1,0,1,0,1,0
ticket,dev.mgmeral.ticket.exception,GlobalExceptionHandler,45,0,0,0,9,0,7,0,7,0
ticket,dev.mgmeral.ticket.exception,DuplicatePaymentRefException,0,11,0,0,0,4,0,2,0,2
ticket,dev.mgmeral.ticket.config,CorrelationIdFilter,29,0,4,0,9,0,4,0,2,0
ticket,dev.mgmeral.ticket.service.impl,PerformerServiceImpl,6,324,3,13,0,53,3,16,0,11
ticket,dev.mgmeral.ticket.service.impl,EventServiceImpl,143,448,19,27,22,78,17,19,2,11
ticket,dev.mgmeral.ticket.service.impl,PaymentServiceImpl,2,126,1,1,0,25,1,4,0,4
ticket,dev.mgmeral.ticket.service.impl,PurchaseServiceImpl,35,570,2,14,4,97,2,13,0,7
ticket,dev.mgmeral.ticket.service.impl,SeanceServiceImpl,27,396,6,14,0,59,9,12,3,8
ticket,dev.mgmeral.ticket.service.impl,HoldServiceImpl,111,513,7,15,15,85,6,16,0,11
